analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.033,0.49,559.447,566.284,False,True,False,0.53,-1.51,0,1.509,1.55,0.506,779.2994875569292,,,,,1.023,1.018,0.828,0.672
Croplands_cluster_2_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.03,0.776,541.627,549.62,False,True,False,0.564,-3.068,0,1.195,1.619,0.539,835.6691935610303,1.307,0.547,,,1.099,1.019,0.893,0.955
Croplands_cluster_2_yearly_True_window_2_lags_5_sinusoidal_yes_piecewise,True,2,piecewise_lags_5_sinusoidal_yes,0.204,0.868,464.481,471.55,True,True,False,1.101,-0.491,0,6.482,9.203,0.451,747.6607861984445,,,3.681,0.063,1.039,1.002,0.551,0.998
Croplands_cluster_2_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.024,0.264,1287.548,1294.251,True,True,False,0.956,-0.034,0,2.18,2.18,0.213,746.9951442218182,,,,,,,,
Croplands_cluster_2_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.09,0.151,1264.306,1273.184,True,True,False,0.962,0.018,0,2.303,2.424,0.169,746.5224582105051,1.121,0.035,,,,,,
Croplands_cluster_2_yearly_False_window_3_lags_5_sinusoidal_no_piecewise,False,3,piecewise_lags_5_sinusoidal_no,0.028,0.433,1196.946,1205.581,False,True,False,0.882,-0.081,0,2.799,3.434,0.268,746.9779847562289,,,1.636,0.561,,,,
Croplands_cluster_2_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.073,0.148,1287.985,1299.155,True,True,False,1.076,-0.039,0,2.184,2.188,0.123,746.9951442218182,,,,,1.0,1.003,0.077,0.716
Croplands_cluster_2_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.135,0.078,1264.818,1278.135,True,True,False,1.081,-0.047,0,2.31,2.436,0.092,746.5224582105051,1.122,0.029,,,1.0,1.005,0.076,0.928
Croplands_cluster_2_yearly_False_window_3_lags_5_sinusoidal_yes_piecewise,False,3,piecewise_lags_5_sinusoidal_yes,0.082,0.242,1197.339,1210.292,True,True,False,1.011,-0.101,0,2.804,3.446,0.136,746.9779847562289,,,1.638,0.592,1.003,1.0,0.073,0.881
Croplands_cluster_2_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.042,0.345,540.913,545.015,False,True,False,0.668,-0.502,0,1.21,1.21,0.324,815.3709421838385,,,,,,,,
Croplands_cluster_2_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.069,0.217,523.76,529.089,False,True,False,0.622,-0.651,0,1.526,1.683,0.252,784.5926776711561,1.157,0.665,,,,,,
Croplands_cluster_2_yearly_True_window_3_lags_5_sinusoidal_no_piecewise,True,3,piecewise_lags_5_sinusoidal_no,0.286,0.102,453.255,457.967,False,True,False,0.371,0.185,0,1.327,1.747,0.425,818.1590866282827,,,1.42,0.02,,,,
